id,collection,dc.contributor.advisor,dc.contributor.advisor[],dc.contributor.affiliation[-],dc.contributor.author,dc.contributor.author[-],dc.contributor.author[],dc.contributor.author[fr],dc.contributor.author[none],dc.date.issued,dc.date.issued[-],dc.date.issued[],dc.date.issued[en_US],dc.date.issued[fr],dc.date.issued[fr_FR],dc.date.issued[none],dc.description.abstract[en],dc.description.abstract[en_US],dc.description.abstract[fr],dc.description.abstract[fr_FR],dc.description[-],dc.description[en],dc.description[en_US],dc.description[fr],dc.description[fr_FR],dc.format.extent,dc.format.extent[],dc.format.mimetype,dc.format.mimetype[],dc.identifier.citation[-],dc.identifier.citation[],dc.identifier.citation[en],dc.identifier.citation[fr],dc.identifier.citation[none],dc.identifier.doi,dc.identifier.doi[],dc.identifier.issn,dc.identifier.issn[-],dc.identifier.issn[],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[-],dc.language.iso[],dc.language.iso[en],dc.language.iso[en_US],dc.language.iso[fr],dc.language.iso[fr_FR],dc.publisher[],dc.publisher[en],dc.publisher[en_US],dc.publisher[fr],dc.publisher[fr_FR],dc.relation.ispartof[-],dc.relation.ispartof[],dc.relation.ispartof[en],dc.relation.ispartof[en_US],dc.relation.ispartof[fr],dc.relation.ispartofseries,dc.relation.ispartofseries[-],dc.relation.ispartofseries[],dc.rights,dc.rights[-],dc.rights[],dc.source,dc.source[-],dc.source[],dc.source[en_US],dc.source[fr],dc.source[fr_FR],dc.source[none],dc.subject.other[fr],dc.subject[],dc.subject[en],dc.subject[fr],dc.title.alternative[en],dc.title[en],dc.title[en_US],dc.title[fr],dc.title[fr_FR],dc.type[-],dc.type[],dc.type[en],dc.type[en_US],dc.type[fr],dc.type[fr_FR]
63305,2042/68771,,,,,"Le Moal, Sylvain||Rolland, Thomas",,,,,2018,,,,,,,,,,,,,,,,,,,"Le Moal, Sylvain ; Rolland, Thomas. Juillet 2018 : Facéties nuageuses; L'éruption du Marano. La Météorologie, 2018, 103, p. 62-63",,,,,https://doi.org/10.4267/2042/68793,,2107-0830,,,http://hdl.handle.net/2042/68793,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Les photos du mois,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 62-63",,,,,,,,,image satellitaire||stratocumulus||dissipation||onde||Fidji||cendre volcanique,,,,Juillet 2018 : Facéties nuageuses; L'éruption du Marano,,,,,,,
63304,2042/68771,,,,,"Le Moal, Sylvain||Rolland, Thomas||Le Lay, Jérôme",,,,,2018,,,,,,,,,,,,,,,,,,,"Le Moal, Sylvain ; Rolland, Thomas ; Le Lay, Jérôme. Juin 2018 : Une paire d'yeux ! ; Ronde comme un ballon. La Météorologie, 2018, 103, p. 60-61",,,,,https://doi.org/10.4267/2042/68792,,2107-0830,,,http://hdl.handle.net/2042/68792,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Les photos du mois,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 60-61",,,,,,,,,image satellitaire||oeil du cyclône||football,,,,Juin 2018 : Une paire d'yeux ! ; Ronde comme un ballon,,,,,,,
63303,2042/68771,,,,,"Thibord, Corinne",,,,,2018,,,,,,,,,,,,,,,,,,,"Thibord, Corinne. Pacifique Sud 2017-2018 : Une activité normale, concentrée principalement à l'ouest du bassin. La Météorologie, 2018, 103, p. 55-59",,,,,https://doi.org/10.4267/2042/68791,,2107-0830,,,http://hdl.handle.net/2042/68791,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Saison cyclonique,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 55-59",,,,,,,,,Pacifique sud||cyclône tropical||formation tropicale||tempête||trajectoire||Australie||Nouvelle-Calédonie||Fidji||bilan saisonnier,,,,"Pacifique Sud 2017-2018 : Une activité normale, concentrée principalement à l'ouest du bassin",,Article,,,,,
63302,2042/68771,,,,,"Javelle, Jean-Pierre",,,,,2018,,,,,,,,,,,,,"OUVRAGES : Penser l'Anthropocène. Sous la direction de Rémi Beau et Catherine Larrère / Atlas des glaciers disparus. Par Sylvain Coutterrand / Ça chauffe dans nos assiettes ; des recettes pour sauver le climat. Par Yves Leers et Jean-Luc Fessard / La mer dans la littérature française. Par Simon Leys / Climate change and cultural transition in Europe. Sous la direction de Claus Leggewie et Franz Mauelshagen / Climate change in human history ; prehistory to present. Par Benjamin Lieberman et Elisabeth Gordon / INTERNET : Encyclopédie de l'environnement / Atlas des cyclones tropicaux de la Guadeloupe / THESES : Lucas Landier : Modélisation 3D du bilan radiatif urbain. Thèse de l'université de Toulouse / Martin Turbet : Habitabilité des planètes avec un modèle numérique de climat ; application aux planètes extrasolaires et à Mars primitif. Thèse de Sorbonne Université, Paris / Yann Quilcaille : Revisiting emissions and climate scenarios with a compact Earth system model. Thèse de Sorbonne Université, Paris / Fifi Adodo : Radiométrie et altimétrie en Antarctique. Thèse de l'université de Toulouse / Maxence Lefevre : Modélisation petite échelle de l'atmosphère de Vénus ; convection et onde de gravité. Thèse de Sorbonne Université, Paris / Abdelhadi El Yazidi : Estimation des flux de CO2 et de CH4 en France en utilisant les concentrations atmosphériques du réseau Icos et les techniques d'assimilation de données. Thèse de l'université Versailles Saint-Quentin-en-Yvelines / Frédéric Romand : Simulation de la signature infrarouge des phénomènes lumineux transitoires en moyenne atmosphère. Thèse de Sorbonne Université, Paris / Marion Peral : Calibration du thermomètre 'clumping isotope' dans les foraminifères et son application à des reconstitutions paléoclimatologiques de la transition du Pléistocène moyenne dans le Golfe de Tarente. Thèse de l'université Versailles Saint-Quentin-en-Yvelines.",,,,,,"Javelle, Jean-Pierre. Vient de paraître. La Météorologie, 2018, 103, p. 53-54",,,,,https://doi.org/10.4267/2042/68790,,2107-0830,,,http://hdl.handle.net/2042/68790,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Vient de paraître,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 53-54",,,,,,,,,,,,,Vient de paraître,,,,,,,
63301,2042/68771,,,,,"Kreitz, Michaël",,,,,2018,,,,,,,,,,,,,,,,,,,"Kreitz, Michaël. Traqueurs de tornades : À l'affût des colères du ciel . La Météorologie, 2018, 103, p. 52",,,,,https://doi.org/10.4267/2042/68789,,2107-0830,,,http://hdl.handle.net/2042/68789,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Lu pour vous,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 52",,,,,,,,,tornade||formation||orage||photographie de phénomène||supercellule orageuse||chasseur de tornade||Tornado Alley,,,,"Traqueurs de tornades : À l'affût des colères du ciel - par Christophe Asselin, Julien Batard, Vincent Deligny, Tony Le Bastard",,Article,,,,,
63300,2042/68771,,,,,"Juvanon du Vachat, Régis",,,,,2018,,,,,,,,,,,,,,,,,,,"Juvanon du Vachat, Régis. Le changement climatique : Menace pour la démocratie ? . La Météorologie, 2018, 103, p. 51",,,,,https://doi.org/10.4267/2042/68788,,2107-0830,,,http://hdl.handle.net/2042/68788,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Lu pour vous,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 51",,,,,,,,,réchauffement climatique||impact||crises climatiques||conflits politiques||migration humaine||transition écologique,,,,Le changement climatique : Menace pour la démocratie ? - par Valéry Laramée de Tannenberg,,Article,,,,,
63299,2042/68771,,,,,"Fructus, Mathieu",,,,,2018,,,,,,,,,,,,,,,,,,,"Fructus, Mathieu. Conquêtes antarctiques . La Météorologie, 2018, 103, p. 50",,,,,https://doi.org/10.4267/2042/68787,,2107-0830,,,http://hdl.handle.net/2042/68787,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Lu pour vous,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 50",,,,,,,,,Antarctique||Kerguelen||coopération scientifique||histoire||vulgarisation scientifique||carotte glaciaire||biologie||expédition polaire||océan austral||puits de CO2,,,,Conquêtes antarctiques - par Guy Jacques et Paul Tréguer,,Article,,,,,
63298,2042/68771,,,,,"Duflot, Valentin||Tulet, Pierre||Cammas, Jean-Pierre",,,,,2018,,,,,,"The Observatory of Atmospheric Physics of La Réunion (OPAR) is a unique observation site through the quality of its infrastructure and instruments, and through its location in an area sparsely documented where physico-chemical processes take place that are essential for the understanding of the climate and improvement in its modelling. In particular, the Maïdo observatory, inaugurated at the end of 2012, attracts the national and international communities and allows OPAR to enrich its range of instruments and collaborations, and to occupy an important position within research networks and infrastructures. This article presents a brief history of OPAR, some of the scientific topics for which OPAR is of particular interest, the instruments operated, some of scientific results obtained thanks to OPAR observations, as well as its place within the national and international networks.",,"L'Observatoire de physique de l'atmosphère de La Réunion (Opar) est un site d'observation unique par la qualité de son infrastructure et de ses instruments, et par sa localisation dans une zone très peu documentée et riche de processus physico-chimiques dont l'étude se révèle essentielle pour lever certains des verrous actuels portant sur notre compréhension du climat et sa modélisation. En particulier, l'observatoire du Maïdo, inauguré fin 2012, suscite un engouement important des communautés nationale et internationale ; il permet à l'Opar d'étoffer la richesse de son parc instrumental et de ses collaborations, et d'occuper une place importante dans près d'une dizaine de réseaux et infrastructures de recherche. Cet article présente un bref historique de la genèse de l'Opar, quelques-unes des thématiques scientifiques au regard desquelles il occupe une position privilégiée, les moyens instrumentaux déployés, quelques résultats scientifiques utilisant les données générées par l'Opar, ainsi que sa place dans les réseaux nationaux et internationaux.",,,,,"Autres affiliations des auteurs de Météo-France : Valentin Duflot, Jean-Pierre Cammas : Observatoire des sciences de l'univers de La Réunion, Saint-Denis, La Réunion.",,,,,,"Duflot, Valentin ; Tulet, Pierre ; Cammas, Jean-Pierre. L'Observatoire de physique de l'atmosphère de La Réunion : sentinelle climatique de l'hémisphère Sud. La Météorologie, 2018, 103, p. 38-49",,,,,https://doi.org/10.4267/2042/68786,,2107-0830,,,http://hdl.handle.net/2042/68786,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Observation,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 38-49",,,,,,,,,observation météorologique||la Réunion||observatoire||réseau de mesures||recherche scientifique||physique de l'atmosphère||lidar||aérosol||vapeur d'eau||ozone stratosphérique||couche limite,The Atmospheric Physics Observatory of La Réunion: climatic sentinel of the southern hemisphere,,,L'Observatoire de physique de l'atmosphère de La Réunion : sentinelle climatique de l'hémisphère Sud,,Article||Article évalué par les pairs / peer-reviewed article,,,,,
63297,2042/68771,,,,,"Gillet-Chaulet, Bruno",,,,,2018,,,,,,"The probabilistic approach allows to quantify the uncertainty of numerical weather prediction. The use of probabilities is however thorny as it often leads to judgment biases. Different methods are possible for extracting information from a probabilistic forecast. They depend on how forecasts are used and their expected benefits. Getting the most out of this type of forecasting requires the knowledge of some essential properties of ensemble prediction. Scientists, climatologists, forecasters and users have to work together for the optimal exploitation of Ensemble Prediction Systems (EPS) which have become essential today.",,"L'approche probabiliste permet de quantifier l'incertitude de la prévision météorologique. L'usage des probabilités est toutefois délicat car il conduit souvent à des biais de jugement. Différentes méthodes sont possibles pour extraire de l'information d'une prévision probabiliste. Elles dépendent de l'utilisation qui en est faite et du bénéfice attendu. Tirer le meilleur profit de ce type de prévision nécessite d'intégrer certaines propriétés essentielles des prévisions d'ensemble. Un dialogue est nécessaire entre chercheurs, climatologues, prévisionnistes et usagers pour une exploitation optimale des systèmes de prévision d'ensemble (SPE) devenus incontournables aujourd'hui.",,,,,,,,,,,"Gillet-Chaulet, Bruno. Prévisions probabilistes à Météo-France à l'aube des années 2020 - Réflexion et synthèse des pratiques. La Météorologie, 2018, 103, p. 31-37",,,,,https://doi.org/10.4267/2042/68785,,2107-0830,,,http://hdl.handle.net/2042/68785,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Prévision,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 31-37",,,,,,,,,probabilités||incertitude||prévision probabiliste||prévision d'ensemble||indice de confiance||utilisateurs,Probabilistic Forecasts at Météo-France in the beginning of the 2020's - Reflection and synthesis of current practises,,,Prévisions probabilistes à Météo-France à l'aube des années 2020 - Réflexion et synthèse des pratiques,,Article||Article évalué par les pairs / peer-reviewed article,,,,,
63296,2042/68771,,,,,"Perrier, Quentin||Guivarch, Céline||Boucher, Olivier",,,,,2018,,,,,,"The Paris Agreement includes the objective of achieving 'net zero emissions' of greenhouse gases in the second half of the century. The exact wording, however, raises several scientific questions.How to distinguish between anthropogenic emissions and removals subject to the agreement, and the natural flows of these same gases? Which gases should be included in the agreement, and how to compare gases with different physical properties? How to ensure the compatibility of net zero emissions with the other objectives of the Paris Agreement? This article discusses possible choices and their implications, in order to provide useful recommendations for clarifying and operationalizing the global objectives of the Paris Agreement.",,"L'Accord de Paris inclut l'objectif d'atteindre le « zéro émissions nettes » de gaz à effet de serre dans la seconde moitié du siècle. La formulation exacte de cet objectif soulève cependant plusieurs questions d'ordre scientifique. Comment distinguer les émissions et les absorptions anthropiques concernées par l'accord des flux naturels de ces mêmes gaz ? Quels gaz inclure dans l'accord, et comment comparer des gaz aux propriétés physiques différentes ? Comment assurer la compatibilité du zéro émissions nettes avec les autres objectifs de l'Accord de Paris ? Cet article discute les choix possibles et leurs implications, afin de fournir des recommandations utiles pour préciser et rendre opérationnels les objectifs globaux de l'Accord de Paris.",,,,,,,,,,,"Perrier, Quentin ; Guivarch, Céline ; Boucher, Olivier. L'objectif « zéro émissions nettes » de l'Accord de Paris : signification et implications. La Météorologie, 2018, 103, p. 26-30",,,,,https://doi.org/10.4267/2042/68784,,2107-0830,,,http://hdl.handle.net/2042/68784,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Changement climatique,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 26-30",,,,,,,,,réchauffement climatique||emissions anthropiques||réduction des emissions||accord international||COP 21,Net zero emissions' objective in the Paris Agreement: Meaning and implications,,,L'objectif « zéro émissions nettes » de l'Accord de Paris : signification et implications,,Article||Article évalué par les pairs / peer-reviewed article,,,,,
63295,2042/68771,,,,,"Boucher, Olivier||Doutriaux-Boucher, Marie||Dufresne, Jean-Louis",,,,,2018,,,,,,,,,,,,,,,,,,,"Boucher, Olivier ; Doutriaux-Boucher, Marie ; Dufresne, Jean-Louis. Réflexions sur la température moyenne de la planète. La Météorologie, 2018, 103, p. 21-25",,,,,https://doi.org/10.4267/2042/68783,,2107-0830,,,http://hdl.handle.net/2042/68783,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Enseignement,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 21-25",,,,,,,,,réchauffement climatique||température moyenne||expérience pédagogique,,,,Réflexions sur la température moyenne de la planète,,Article,,,,,
63294,2042/68771,,,,,"Phulpin, Thierry||Pailleux, Jean",,,,,2018,,,,,,,,,,,,,,,,,,,"Phulpin, Thierry ; Pailleux, Jean. Journée scientifique du 30 mai 2018 - Quels impacts et quelles adaptations pour l'agriculture en Occitanie ?. La Météorologie, 2018, 103, p. 17-19",,,,,https://doi.org/10.4267/2042/68782,,2107-0830,,,http://hdl.handle.net/2042/68782,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : La vie de Météo et Climat,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 17-19",,,,,,,,,agriculture||D.P.A France Sud-Ouest||adaptation climatique,,,,Journée scientifique du 30 mai 2018 - Quels impacts et quelles adaptations pour l'agriculture en Occitanie ?,,Article,,,,,
63293,2042/68771,,,,,"Blanchet, Guy",,,,,2018,,,,,,,,,,,,,,,,,,,"Blanchet, Guy. Prix Perrin de Brichambaut 2018. La Météorologie, 2018, 103, p. 15",,,,,https://doi.org/10.4267/2042/68781,,2107-0830,,,http://hdl.handle.net/2042/68781,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : La vie de Météo et Climat,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 15",,,,,,,,,éducation||remise de prix,,,,Prix Perrin de Brichambaut 2018,,Article,,,,,
63292,2042/68771,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,"Arc-en-mer. La Météorologie, 2018, 103, p. 13",,,,,https://doi.org/10.4267/2042/68780,,2107-0830,,,http://hdl.handle.net/2042/68780,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : La photo du trimestre,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 13",,,,,,,,,photographie de phénomène||phénomène optique||arc-en-ciel,,,,Arc-en-mer,,Article,,,,,
63291,2042/68771,,,,,"Juvanon du Vachat, Régis||Blanchet, Guy",,,,,2018,,,,,,,,,,,,,,,,,,,"Juvanon du Vachat, Régis ; Blanchet, Guy. Le 31e colloque de l'Association internationale de climatologie. La Météorologie, 2018, 103, p. 11-12",,,,,https://doi.org/10.4267/2042/68779,,2107-0830,,,http://hdl.handle.net/2042/68779,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Échos,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 11-12",,,,,,,,,climatologie||colloque international||échelle fine,,,,Le 31e colloque de l'Association internationale de climatologie,,Article,,,,,
63290,2042/68771,,,,,"Capderou, Michel||Boucher, Olivier",,,,,2018,,,,,,,,,,,,,,,,,,,"Capderou, Michel ; Boucher, Olivier. Le Laboratoire de météorologie dynamique fête ses 50 ans. La Météorologie, 2018, 103, p. 8-10",,,,,https://doi.org/10.4267/2042/68778,,2107-0830,,,http://hdl.handle.net/2042/68778,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Échos,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 8-10",,,,,,,,,histoire||laboratoire de recherche||anniversaire,,,,Le Laboratoire de météorologie dynamique fête ses 50 ans,,Article,,,,,
63289,2042/68771,,,,,"Guillaume, Anne",,,,,2018,,,,,,,,,,,,,,,,,,,"Guillaume, Anne. Sortie du rapport du Giec sur le réchauffement planétaire de 1,5 °C. La Météorologie, 2018, 103, p. 6-8",,,,,https://doi.org/10.4267/2042/68777,,2107-0830,,,http://hdl.handle.net/2042/68777,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Échos,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 6-8",,,,,,,,,réchauffement climatique||réduction des emissions||GIEC,,,,"Sortie du rapport du Giec sur le réchauffement planétaire de 1,5 °C",,Article,,,,,
63288,2042/68771,,,,,"Kreitz, Michaël",,,,,2018,,,,,,,,,,,,,,,,,,,"Kreitz, Michaël. Les noms de tempêtes pour « l'hiver » 2018-2019. La Météorologie, 2018, 103, p. 5-6",,,,,https://doi.org/10.4267/2042/68776,,2107-0830,,,http://hdl.handle.net/2042/68776,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Échos,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 5-6",,,,,,,,,tempête||dénomination,,,,Les noms de tempêtes pour « l'hiver » 2018-2019,,Article,,,,,
63287,2042/68771,,,,,"Fellous, Jean-Louis",,,,,2018,,,,,,,,,,,,,,,,,,,"Fellous, Jean-Louis. Le Comité mondial de la recherche spatiale a 60 ans. La Météorologie, 2018, 103, p. 4-5",,,,,https://doi.org/10.4267/2042/68775,,2107-0830,,,http://hdl.handle.net/2042/68775,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Échos,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 4-5",,,,,,,,,recherche spatiale||coopération internationale||anniversaire,,,,Le Comité mondial de la recherche spatiale a 60 ans,,Article,,,,,
63286,2042/68771,,,,,"Tabary, Pierre||Dabas, Alain",,,,,2018,,,,,,,,,,,,,,,,,,,"Tabary, Pierre ; Dabas, Alain. Aeolus : une première mondiale pour l'Europe. La Météorologie, 2018, 103, p. 3-4",,,,,https://doi.org/10.4267/2042/68774,,2107-0830,,,http://hdl.handle.net/2042/68774,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Échos,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 3-4",,,,,,,,,télédétection satellitaire||lidar Doppler||profil de vent,,,,Aeolus : une première mondiale pour l'Europe,,Article,,,,,
63285,2042/68771,,,,,"Berthier, Étienne",,,,,2018,,,,,,,,,,,,,,,,,,,"Berthier, Étienne. ICESat-2 : un nouveau laser dans l'espace pour suivre le volume des glaces. La Météorologie, 2018, 103, p. 2",,,,,https://doi.org/10.4267/2042/68773,,2107-0830,,,http://hdl.handle.net/2042/68773,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Échos,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 2",,,,,,,,,télédétection satellitaire||glacier||calotte polaire||altimétrie,,,,ICESat-2 : un nouveau laser dans l'espace pour suivre le volume des glaces,,Article,,,,,
63284,2042/68771,,,,,"Javelle, Jean-Pierre",,,,,2018,,,,,,,,,,,,,,,,,,,"Javelle, Jean-Pierre. Editorial. La Météorologie, 2018, 103, p. 1",,,,,https://doi.org/10.4267/2042/68772,,2107-0830,,,http://hdl.handle.net/2042/68772,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Éditorial,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2018, Série 8, 103, p. 1",,,,,,,,,,,,,Editorial,,,,,,,
64238,2042/69771,,,,,Météo-France DClim,,,,,2019,,,,,,,,,,,,,,,,,,,"Novembre 2018. La Météorologie, 2019, 104, p. 77-79",,,,,https://doi.org/10.4267/2042/69799,,2107-0830,,,http://hdl.handle.net/2042/69799,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Résumés climatiques,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2019, Série 8, 104, p. 77-79",,,,,,,,,climatologie d'un lieu||France,,,,Novembre 2018,,,,,,,
64237,2042/69771,,,,,Météo-France DClim,,,,,2019,,,,,,,,,,,,,,,,,,,"Octobre 2018. La Météorologie, 2019, 104, p. 74-76",,,,,https://doi.org/10.4267/2042/69798,,2107-0830,,,http://hdl.handle.net/2042/69798,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Résumés climatiques,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2019, Série 8, 104, p. 74-76",,,,,,,,,climatologie d'un lieu||France,,,,Octobre 2018,,,,,,,
64236,2042/69771,,,,,Météo-France DClim,,,,,2019,,,,,,,,,,,,,,,,,,,"Septembre 2018. La Météorologie, 2019, 104, p. 71-73",,,,,https://doi.org/10.4267/2042/69797,,2107-0830,,,http://hdl.handle.net/2042/69797,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Résumés climatiques,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2019, Série 8, 104, p. 71-73",,,,,,,,,climatologie d'un lieu||France,,,,Septembre 2018,,,,,,,
64235,2042/69771,,,,,"Le Moal, Sylvain",,,,,2019,,,,,,,,,,,,,,,,,,,"Le Moal, Sylvain. Novembre 2018 : Bloom & fire ; Chaud, le Queensland !. La Météorologie, 2019, 104, p. 69-70",,,,,,https://doi.org/10.4267/2042/69796,2107-0830,,,,http://hdl.handle.net/2042/69796,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Les photos du mois,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2019, Série 8, 104, p. 69-70",,,,,,,,,image satellitaire||Australie||Afrique du Sud||feux de brousse||phytoplancton,,,,"Novembre 2018 : Bloom & fire ; Chaud, le Queensland !",,,,,,,
64234,2042/69771,,,,,"Le Moal, Sylvain||Le Lay, Jérôme||Rolland, Thomas",,,,,2019,,,,,,,,,,,,,,,,,,,"Le Moal, Sylvain ; Le Lay, Jérôme ; Rolland, Thomas. Octobre 2018 : Michael est de retour ; Leslie et Callum. La Météorologie, 2019, 104, p. 67-68",,,,,https://doi.org/10.4267/2042/69795,,2107-0830,,,http://hdl.handle.net/2042/69795,,fr,,,,,,,,,Association Météo et Climat,,Rubrique : Les photos du mois,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 2019, Série 8, 104, p. 67-68",,,,,,,,,image satellitaire||Atlantique||tempête||cyclône tropical||oeil du cyclône||Floride,,,,Octobre 2018 : Michael est de retour ; Leslie et Callum,,,,,,,
