MF_CATEGORIE;DOC_TITRE;DOC_PER_NUMERO;DOC_AN_EDIT;FT_CID;FT_SFNAME;;URL directe du fichier
Met Mar;Met Mar n°143 - 2ème trimestre 1989;143;1989;235711;doc00025315__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235711/doc00025315__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235711/doc00025315__PDF.txt
Met Mar;Met Mar n°144 - 3ème trimestre 1989;144;1989;235710;doc00025314__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235710/doc00025314__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235710/doc00025314__PDF.txt
Met Mar;Met Mar n°145 - 4ème trimestre 1989;145;1989;235709;doc00025313__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235709/doc00025313__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235709/doc00025313__PDF.txt
Met Mar;Met Mar n°146 - 1er trimestre 1990;146;1990;235708;doc00025312__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235708/doc00025312__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235708/doc00025312__PDF.txt
Met Mar;Met Mar n°147 - 2ème trimestre 1990;147;1990;235707;doc00025311__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235707/doc00025311__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235707/doc00025311__PDF.txt
Met Mar;Met Mar n°148 - 3ème trimestre 1990;148;1990;235706;doc00025310__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235706/doc00025310__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235706/doc00025310__PDF.txt
Met Mar;Met Mar n°149 - 4ème trimestre 1990;149;1990;235705;doc00025309__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235705/doc00025309__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235705/doc00025309__PDF.txt
Met Mar;Met Mar n°150 - 1er trimestre 1991;150;1991;235704;doc00025308__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235704/doc00025308__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235704/doc00025308__PDF.txt
Met Mar;Met Mar n°151 - 2ème trimestre 1991;151;1991;235674;doc00025274__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235674/doc00025274__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235674/doc00025274__PDF.txt
Met Mar;Met Mar n°152 - 3ème trimestre 1991;152;1991;235673;doc00025273__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235673/doc00025273__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235673/doc00025273__PDF.txt
Met Mar;Met Mar n°153 - 4ème trimestre 1991;153;1991;235672;doc00025272__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235672/doc00025272__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235672/doc00025272__PDF.txt
Met Mar;Met Mar n°154 - 1er trimestre 1992;154;1992;235671;doc00025271__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235671/doc00025271__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235671/doc00025271__PDF.txt
